uuid;data;cor;resultado;tipo;tempo_controle;rating_proprio;rating_adversario;adversario;acuracia_pct;eco_code;abertura;url;mes;mes_str
ca1804fb-a239-11ec-a864-78ac4409ff3c;2022-03-12;white;derrota;rapid;1800;648;1114;elbinhavermelha;;Kings;Kings Pawn Opening Kings Knight Variation 2...Nc6;https://www.chess.com/game/live/40852123307;2022-03;2022-03
ada5174f-a3d2-11ec-a9b5-78ac4409ff3c;2022-03-14;black;derrota;blitz;300;700;718;elbinhavermelha;;Sicilian;Sicilian Defense Bowdler Attack 2...Nc6;https://www.chess.com/game/live/41027433329;2022-03;2022-03
0f77b419-a3d4-11ec-a9b5-78ac4409ff3c;2022-03-14;white;derrota;rapid;600;648;1114;elbinhavermelha;;Philidor;Philidor Defense 3.Nc3;https://www.chess.com/game/live/41028031299;2022-03;2022-03
85b6a5f2-4b06-11ed-bce6-78ac4409ff3c;2022-10-13;black;derrota;rapid;1800;292;334;gustavoferreira554;;Kings;Kings Pawn Opening 1...e5;https://www.chess.com/game/live/59411505849;2022-10;2022-10
de570673-4b08-11ed-bce6-78ac4409ff3c;2022-10-13;white;derrota;rapid;1800;174;369;gustavoferreira554;;Vienna;Vienna Game;https://www.chess.com/game/live/59412647389;2022-10;2022-10
2637555d-4b0a-11ed-bce6-78ac4409ff3c;2022-10-13;black;derrota;rapid;1800;119;391;gustavoferreira554;;Van;Van t Kruijs Opening 1...g6;https://www.chess.com/game/live/59413233425;2022-10;2022-10
33ecc1b5-b872-11ed-9170-6cfe544c0428;2023-03-01;black;derrota;rapid;600;100;111;Lynxy1128;;Owens;Owens Defense 2.Nc3;https://www.chess.com/game/live/71442755509;2023-03;2023-03
a2dbf837-b93a-11ed-9170-6cfe544c0428;2023-03-02;white;derrota;rapid;600;243;611;RicardoArcturus;;Kings;Kings Fianchetto Opening 1...e6 2.Bg2;https://www.chess.com/game/live/71528739593;2023-03;2023-03
261b8588-b90b-11ed-9170-6cfe544c0428;2023-03-02;white;vitoria;rapid;600;264;604;RicardoArcturus;67.26;Queens;Queens Pawn Opening Polish Defense;https://www.chess.com/game/live/71508359903;2023-03;2023-03
5e025a77-bd27-11ed-9170-6cfe544c0428;2023-03-07;white;empate;rapid;600;294;545;RicardoArcturus;;Petrovs;Petrovs Defense;https://www.chess.com/game/live/71960222527;2023-03;2023-03
032e0631-bd29-11ed-9170-6cfe544c0428;2023-03-07;black;derrota;rapid;600;269;548;RicardoArcturus;37.37;Van;Van t Kruijs Opening;https://www.chess.com/game/live/71961118305;2023-03;2023-03
5980154d-c1de-11ed-8269-6cfe544c0428;2023-03-13;black;derrota;rapid;600;249;546;RicardoArcturus;41.12;Nimzowitsch;Nimzowitsch Defense;https://www.chess.com/game/live/72478594565;2023-03;2023-03
6bebe6a4-c43b-11ed-8269-6cfe544c0428;2023-03-16;white;derrota;rapid;600;187;558;RicardoArcturus;;Queens;Queens Pawn Opening Blackmar Gambit;https://www.chess.com/game/live/72738678827;2023-03;2023-03
84887a75-c439-11ed-a7e1-43b98101000f;2023-03-16;white;derrota;rapid;600;198;251;h72jfma;;Center;Center Game;https://www.chess.com/game/live/72737725252;2023-03;2023-03
a87abf8f-c439-11ed-a7e1-43b98101000f;2023-03-16;white;vitoria;rapid;600;240;173;harrison123r;;Kings;Kings Pawn Opening Leonardis Variation;https://www.chess.com/game/live/72738119008;2023-03;2023-03
46a26b5f-c43a-11ed-bad8-12402701000f;2023-03-16;black;empate;rapid;600;196;211;sluwen;;English;English Opening Anglo Dutch Defense;https://www.chess.com/game/live/72738671024;2023-03;2023-03
ffd88e22-c43b-11ed-8269-6cfe544c0428;2023-03-16;black;derrota;rapid;600;179;560;RicardoArcturus;;Reti;Reti Opening 1...Nf6 2.d3 d5 3.g3;https://www.chess.com/game/live/72738819371;2023-03;2023-03
82c8e197-c503-11ed-923a-6cfe544c0428;2023-03-17;black;derrota;rapid;600;164;554;RicardoArcturus;50.81;Queens;Queens Pawn Opening 1...d5 2.e3;https://www.chess.com/game/live/72824627073;2023-03;2023-03
a79e01de-c502-11ed-923a-6cfe544c0428;2023-03-17;white;derrota;rapid;600;171;552;RicardoArcturus;;Queens;Queens Pawn Opening Mikenas Defense 2.Nf3;https://www.chess.com/game/live/72824156891;2023-03;2023-03
b65a9803-c851-11ed-8022-3852ea01000f;2023-03-21;black;vitoria;rapid;600;249;194;c4bn;;Alapin;Alapin Sicilian Defense 2...e5 3.Nf3;https://www.chess.com/game/live/73188957720;2023-03;2023-03
8fd8dfab-c85a-11ed-8022-3852ea01000f;2023-03-21;white;derrota;rapid;600;264;263;Raffaelnc;;Caro;Caro Kann Defense Exchange Variation 3...cxd5 4.Nf3 Nc6;https://www.chess.com/game/live/73192502108;2023-03;2023-03
0d11de94-c85a-11ed-a942-3dccb101000f;2023-03-21;white;vitoria;rapid;600;280;245;JumpyGamy;;Center;Center Game;https://www.chess.com/game/live/73191827336;2023-03;2023-03
35bbf1b2-c858-11ed-a942-3dccb101000f;2023-03-21;black;vitoria;rapid;600;265;295;AndrewJAA;;Indian;Indian Game Knights Variation East Indian Defense 3.c3 Bg7;https://www.chess.com/game/live/73191355440;2023-03;2023-03
f8bd8afe-c855-11ed-92a3-ef47c001000f;2023-03-21;black;derrota;rapid;600;246;196;ciacia14;;Alekhines;Alekhines Defense Normal Variation 3.d4;https://www.chess.com/game/live/73190655352;2023-03;2023-03
74214a04-c854-11ed-92a3-ef47c001000f;2023-03-21;white;vitoria;rapid;600;267;249;DIMAS7A11;;Center;Center Game Accepted 3.Qxd4;https://www.chess.com/game/live/73189541012;2023-03;2023-03
75c49fca-c85c-11ed-a942-3dccb101000f;2023-03-21;black;derrota;rapid;600;252;325;6reed;;Modern;Modern Defense with 1 e4 2.d4 Bg7;https://www.chess.com/game/live/73192565944;2023-03;2023-03
06b366a6-c851-11ed-8f75-47c17701000f;2023-03-21;white;derrota;rapid;600;232;326;prismcobra;;Queens;Queens Gambit Declined Chigorin Defense 3.Nc3 Nf6;https://www.chess.com/game/live/73187772628;2023-03;2023-03
1ce56358-c84f-11ed-8f75-47c17701000f;2023-03-21;black;derrota;rapid;600;228;250;devsinhn;;Queens;Queens Pawn Opening Zukertort Variation 2...c6 3.e3;https://www.chess.com/game/live/73187164924;2023-03;2023-03
